Word,Label
Tabelle,1
Norm,1
Prüfung,1
Verfahren,1
Probe,1
Entwurf,1
Controller,1
Messunsicherheit,1
Temperatur,1
Länge,1
durchgeführt,1
System,1
Inhomogenität,1
Überprüfung,1
Norm,1
Form,1
Unsicherheit,1
Wert,1
Tabelle,1
Probe,1
Gleichung,1
Probekörper,1
Kalibrierung,1
Prüfmaschine,1
Maße,1
Messlänge,1
Werkstoffe,1
Angabe,1
Abstand,1
Auswertung,1
ISO,1
DIN,1
Ergebnis,1
Entwurf,1
Stahl,1
Standardabweichung,1
Extensometer-Dehnung,1
Anfangsmesslänge,1
Prüfbericht,1
Bruch,1
Parameter,1
Unregelmäßigkeiten,1
Normung,1
zerstörungsfreie,1
Werkstoff,1
zulässig,1
Fläche,1
Verlängerung,1
Prüfkraft,1
Standard,1
Technik,1
messen,1
messen,1
Prüfverfahren,1
normativ,1
Technik,1
Transition,1
Querschnitt,1
Drehgeschwindigkeit,1
Millimeter,1
Simulation,1
Härteprüfmaschine,1
Vergleichskörper,1
metallische,1
Grundgesamtheit,1
Bruchdehnung,1
schweißen,1
Maschinendeformationen,1
Abstandsänderung,1
Krafteinleitungsstelle,1
Maschinengestell,1
hydraulisch,1
Feindehnung,1
Aufnehmersysteme,1
Probenmarkierungen,1
Tastköpfe,1
Temperaturdrift,1
Spannvorrichtungen,1
Prüfmaschinenklassifizierung,1
Fehlerbetrachtung,1
Beanspruchungsgeschwindigkeiten,1
Traversenantrieb,1
Pendelmanometer,1
Korrosionserscheinungen,1
Traversenführungen,1
Kalibriertemperatur,1
Kraftanzeigegerät,1
Skalenendwert,1
Kolbenstellung,1
Arbeitszylinder,1
Reibungswiderstand,1
Höchstprüfkraft,1
Höchstkraftbereich,1
Druckkraft-Einbauraum,1
Zugkraft-Einbauraum,1
Kalibrierreihe,1
Messeinrichtung,1
Prüfräume,1
einbauen,1
lagern,1
Zugkraftmessgerät,1
Skalenpunkt,1
Anzeigeschwankungen,1
Ziffernskale,1
Einzelprüfmaschine,1
Instandhaltung,1
Werkstoffprüfmaschine,1
beschädigen,1
Knetlegierungen,1
Gusshaut,1
Probenabmessungen,1
Längenänderungs-Messsystem,1
Keilspannköpfe,1
verfestigen,1
Walzoberflächen,1
Mindestmesswert,1
Werkstoffkenngrößen,1
Elastizitätsmodul,1
Dehngeschwindigkeitszunahme,1
Werkstoffdatenblätter,1
Einschnürdehnung,1
Werkstückdicke,1
Schweißrichtung,1
Stumpfstöße,1
Oberflächenrissprüfung,1
Prüfanforderungen,1
Werkstoffgruppeneinteilung,1
Objektmikrometer,1
Werkstofftechnik,1
Werkstoffprüfung,1
Vickers-Härtereferenz,1
Vickers-Härteprüfung,1
Rockwell-Härteeindringkörper,1
Maschinenhysterese,1
Toleranzbereich,1
Schmierstoff,1
Sinterhärte,1
Intervall,1
magnetisch,1
kalibriert,1
prüfen,1
maschinell,1
kontinuierlich,1
konvex,1
konkav,1
gekrümmt,1
Betriebszeit,1
Messgeräte,1
normiert,1
Bauteil,1